offering_id,faculty_full,link_fragment
ACB2851_PENINSULA_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2b005321cd734fd63f1a8285ef2804529d4dfd7ae943bb18de8c2e053d4e4f821dd5c315bc5fe81890b9923be5b18115&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3021_PENINSULA_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d08b503319a7e502b9ec87322eb3ab7a52fe4077fdf2bf795f35c6aefb8fef380c6531bdcd383270b6e90e5ea71dfcff&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3041_PENINSULA_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d65aad9560f9a1b0aeaecb4c1783ce65df7b79f16ac5f42a8907a1886586a0318bd784daede0a7a1a897fbbb88bce2a0&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3050_PENINSULA_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2180a5fdba25c20f220d1ecd12553d4fa8d2e659a051a2e6c730b2849e7b1afb7dd98d85c41729de8f2de306da7f7a31&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1100_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5e96b95069741b91ae5a8a1a01bbce4dda168b8ed46f2f03447508fcc4d18fb745ff695584b8f55f4653ab39956f4be6&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5c62f51eb7972ab6ad4c27dbd9b2e64a19c3b341ff085ca0671287e7a6379a42df19961cf4d2677e80ed6b75281f04da&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2b1c328907cc594ddb14ee1c42eee0e2e5fcefdbd57a59f7db3f16c7ba6b9df9ffb525be4288132c158acac9dd727e0c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=eedb8aad07979035b1fc245c529281a747b0d1ef5edcaac4d2f7d5e4796e67aa5579484399cbec82a74f8faa1e669860&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8a84b3135d720177afb2169f8b4dd097d2242f4ce03486d21e7f2f112090568caaa3423bf022ca1f2ced62c2f0583883&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=59c00b651ecc2783428267a6130624a238d95ac09e9871bc3dce25dc4db71a2ae48fad5f8889dcd68f54aea94f1dce63&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3200_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0bcad6132a8f2f9b0ec1eba9f56ff998eb27eee321ba0471b10ea78c748d4ebc99dab724071ed4c07c451f3d873e5e1c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3600_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3fb1d60a91ce43a70224c5a95878889e46f41f7ea150039bbfede6a20fe599eeaace5ea42a49f8490bc3f04bf3c394f3&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC5903_CLAYTON_ON-CAMPUS_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f025cc83236a3efe48aa6ca4b377d364b52eeaeb605df28d09c4cf501b8f074842c2c8a0ebb7553ced91d678445dad3&ReportType=2&regl=en-US&IsReportLandscape=False"
