offering_id,faculty_full,link_fragment
ACF1100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1fdf33c771b0e2c62a1f640579944f41dacafe24a69c5fccf9f3643b9f8e4d5b5f0e41115ed3f052a301a4a13d0dc346&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF1200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f529c51b21851e3c7881b279ab921a000b93c9d0874ad946f3e1759151b1a8688aaaa6f1365f19081f74938a6712ea08&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=670c3151ff8ca4dad7e292ce4a2fd0586879774eb2f64418937465418ed9daef7994bad4973e7035a7b5f88e53c57da5&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1e64b4fa17702684b67f4113ff2e11260de8aa6734377c88abb73cc13ceda8566b3834d5ab22f98387b31b8b11ae2a2e&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2400_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=355bed81030957165eb7df727ef4201add3fd67bf3c1cdb8d4fa62f01e0b99d9d7856ffc6ce5c092670f48c9738115fb&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5e7b26de44c4f4933fdc78fb065f85522522ed54eb501dfb788c64c6fe3fd72cdbd0cab6658e53020fc7c86549965c39&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=803d40765ebbd7889dd2575c86f0f187cc665f747edf66b56569082ba268fee60dfb6151b78e99380c6f0d5d70ef42c9&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3600_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=071f58b1787af8b62ccabdf054c4e9fdb7954e58275cea1e66aaaefd915d9788457efb1a9c7924d7c4176ad07ae821fe&ReportType=2&regl=en-US&IsReportLandscape=False"
ACS2740_SAFRICA_BLOCK-ON_ON_SSB-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=37837718f7f4e51fa653c217ce85d1d289401b40882b824f0518b6712455055286085c027b921c522416a2b0008bf06f&ReportType=2&regl=en-US&IsReportLandscape=False"
ACS3740_SAFRICA_BLOCK-ON_ON_SSB-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3afad6c849cf2337732cf4da652610942a2b1a77d5d77ba559bfe732b0a5a8a7f2a8bb9971b1210df3e28ba4586698ec&ReportType=2&regl=en-US&IsReportLandscape=False"
