offering_id,faculty_full,link_fragment
ACB1002_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=61d31f6450afd65fdf3a3d0d60306e597d925de397bde3d7b5d6b519b9b32a8ee29a2b141d057262fdde1a3890217cb5&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB2851_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=24b5b63cb0bc531b98e7571a6bac417dbe94e77b61cd0c4ae41b952a864c3dd792d2e0d905a40d81852e4328febb0a2c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3021_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=724f6dde1af77676b3fbf6cc58838b38d5cd08bd9ab3cf8471743475ab0e4598db9803e2d65ed987b539d86f3d1846b9&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3041_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f19e7d0a115ac6225be4fd22b1bd2946bcd9ec76507d711424f9a66f59cdfb7896cf24cfb7f545295e7cd766c4e87fa3&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3050_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=dba7f7189339dc15e7b5a9f843ee6c256372a6b04acc75cc12f7703806f9eff4bbb007b6c606b6983a181905ea6681be&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1142ac0de38d915e1b1e6d8b114504f7292a67b156ec82649be23c677309d9b2bf6c474835bc336d896f02345dd5860e&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a805b316ee465adcc6d8b3f68c222cf1656d678ae3cf7a07600c25ba8fab943ce294c6f47bf082f5f64c1cb5c728a7ef&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=eac14a1f62fb209bbe611ae983620be06956d33f65a0df4fe4135d8220500925ea12e33c22fbe15dd44818868950c67d&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2ae1b8fe12b2e2aca944b3b2920770bc4186483abbc944b02e5da07abe5dd7bcaf6328d37cd291e96917b01cb1dc67d0&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c4cb54fcd8bea42d38850f2a4f74ebe7973227b60752daf38a085ad27edbeeb9048346844ba0c901ca1401d6f76be387&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6d189c3559e8c8b8f63b1b326fcfc6c847fab2879bf92012615ab4df575edd14c34d76df123ca4702b63c05b2931f6c8&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_MALAYSIA_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c9e4408072a4bd9c490fcb1c334d0e6640c2481417a1049bb2406738b255d71c4ab1b5fcd924494a3bef62981f6d74da&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=901c6a56e81454de1548b95fd9bee55c3963e2766015c06ad0af07efc4133b54fdea7f8b42bc1aca7ba6060e6bb3fde4&ReportType=2&regl=en-US&IsReportLandscape=False"
