offering_id,faculty_full,link_fragment
ACO5170_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=157fc8224267306f805cec0f499de65b9c9e1488f0cf0f874176e8756542d10d822ea6cf0c02cc14f5e96e1747e42811&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5194_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=30febc8f3160b3b67e1778178e7555ee3a1c67aa2bf541d1c14ed405d81160c240c3ab4ed92a244e39df88e379bdfa8a&ReportType=2&regl=en-US&IsReportLandscape=False"
EDF5770_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Education)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5163fa0ffb32027094fd12e8b72706b3b7d2083505ef7426cd9f9a0ec7477188a437047af81023b3eec1bd8f49303be3&ReportType=2&regl=en-US&IsReportLandscape=False"
ETO5510_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=07a2ccb5f04085f3cde039c1bb019ffaef54222a0e5c6578e42568b2c2f3b528bd01b08be7398fe8f59ce93941ef5ac4&ReportType=2&regl=en-US&IsReportLandscape=False"
ETO5513_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d97ef0a89215b2869deb4cdb4c7386e08df1d3b8c4c1996baa54781aaa2136d1497085af2fae6f5dcf7e1e4fdd5e1fdd&ReportType=2&regl=en-US&IsReportLandscape=False"
ITO4131_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Information Technology)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b7e7ba2ec2f1a23e8c89ed96f38913c19cbec03b542f222e7631891ef69b56dc18a2a1fdadef1dc70fd4f2a63331fd40&ReportType=2&regl=en-US&IsReportLandscape=False"
ITO4132_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Information Technology)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=725fe9bfd4307adb168f6662011d289a2f9d22efe68a9d54f7cccad2d719e37ad8dbab2c48e82a6e329876362926632b&ReportType=2&regl=en-US&IsReportLandscape=False"
ITO5001_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Information Technology)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d5bea5e9c68bbf9b83fdf152e9b9c795991bbd1b870ffe1dfc2fbf251669974716dbbda467facccb5c5f97ef488c7038&ReportType=2&regl=en-US&IsReportLandscape=False"
ITO5002_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Information Technology)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7d332c5d620a4b5a04c43a982df856c566776cc3489729b4770702ad14b13a4220cadc63d8a223c1dc6d20f9ed59034&ReportType=2&regl=en-US&IsReportLandscape=False"
ITO5003_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Information Technology)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bc1cfb82d6227c73c348e7092d609df4bd67c3365eb39ba1c2704d139b00de92111d6c71af90225b3e21a40b37702c09&ReportType=2&regl=en-US&IsReportLandscape=False"
