offering_id,faculty_full,link_fragment
ACB2420_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ee392de9129337ddd440b5288edd0c3bd8d43bdb3443626e53ce14acf362e25fe29bc1a5bc7347c909fe61bac399028a&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3120_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=85536401bc67cfd7e3c5a2195604c3a7a9173fb7ce424e6e43a7fa26732ff0943ca8a8a48dde0879d7979e04e9a3c626&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3220_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)",
ACB3620_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c7c8348db28d05c1b799d5a42994268c7eb91880c865d9b8a1bb9e2b0d5f46d4dd203f1ab604cdc6120eb48358a72c3c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=16491846a81cb465b44829c6bbb7d7555fc0e842a30551a67028182075356592f850b9e467a5c8207bab590fb25c4647&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9a5e8cf32cac3a11ac279e8b93736d9092bc9478d1da420b0d6ac5b1d39099a4e71c8db3e9915c3fb06de731db191ae5&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=70f8fe02322fff9e4f3e3784d0bc0eed6dc3036965f9ca9a8f10f3601ab61e8514d91c9c791c9989cc414c3b4cfd72b1&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=308af3156a3ea1845d8eb2f9ad94075599258d20e3d1fef7d9962ae2f72b517aeff2939672c0bc960524849a1986f646&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ede9cd820a448d590bc1f5b4792ae15335f3166d62554ac17c06d5737287f9cf76840094e0290d1f71727cb8cb03e050&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b2884bf2af026ed4ac3078618fb75aaa7005ef52ae1356c83fcb0d7214f1139e03730952c466303a3f91afe82812a298&ReportType=2&regl=en-US&IsReportLandscape=False"
