offering_id,faculty_full,link_fragment
ACI5903_INDONESIA_ON-CAMPUS_ON_MI-T2-6,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fff32f656b0fe7c619fb99dc4fe23f4ab8ab33a6798a2ee06b55f71e302acf92f2e613f5c1936a09a1558b7b95ccd3ae&ReportType=2&regl=en-US&IsReportLandscape=False"
ACO5170_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=38825187ac3f1a5c57f95114a6e1e762b4ae9c458a05ba6da1c2a5c14934c64242901438752e5cbde3cdf541c4160de3&ReportType=2&regl=en-US&IsReportLandscape=False"
ACX1200_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e2d7ee04d5e6bc67d5a82ee997910c469c84780ca659e90809de046cb0f8d1f1c1910868d5bcd0dd2fd71b3e69b776d7&ReportType=2&regl=en-US&IsReportLandscape=False"
ACX2100_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=df0ab24891a895fe2222b5a245861f7742ed173820da3cfd13c5e7219f77f53775585b8b53dd6dd42525aa2a0655be09&ReportType=2&regl=en-US&IsReportLandscape=False"
ACX2200_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8555a53005da7cf7920bd1ad1475f481c25cf63d2d9c552f421be98bea0b086810efb6dfcea3a85fb9159f9051cb4931&ReportType=2&regl=en-US&IsReportLandscape=False"
ACX5903_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=055bbdc5ca07656cb56d55721ddf6087d5f4479ac220e2832f381049e48a6aa1c433c9f4b88af1c76186944923f43406&ReportType=2&regl=en-US&IsReportLandscape=False"
ADA3011_CAULFIELD_BLOCK-ON_ON_SSA-02,"(Faculty of Art Des & Architecture)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f40d7545af7dc65f16b33aa941f8724150eb5706028fc8659dcb50223e64e1ee8abd2fb85357e78b31776095c137b924&ReportType=2&regl=en-US&IsReportLandscape=False"
ADI5111_INDONESIA_ON-CAMPUS_ON_MI-T1-6,"(Faculty of Art Des & Architecture)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f9083bb7a02bea686e05659dde80a5f4be294865e7abd89039cd8c77c34208e78af39d0850e50386156853ee7b37940e&ReportType=2&regl=en-US&IsReportLandscape=False"
AHT1101_CAULFIELD_ON-CAMPUS_ON_SSA-02,"(Faculty of Art Des & Architecture)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5eebe30028e91203dd4b7d354afddc96e9df53dfda302330bcab64b0112c917d52d9c2ccb7f203e9c98999c252fdd526&ReportType=2&regl=en-US&IsReportLandscape=False"
AHT2722_PRATO_ON-CAMPUS_ON_T3-58,"(Faculty of Art Des & Architecture)",
AMU1017_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=59395b11aedb71e4f467e00fd6a3f739808ff2e0282c85b761c67d9937f76c95967d56eb578785747dad70552e9d9d7e&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1223_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=01ae5253adc6731727dd54271e63ce9dcd3ce9b71bc1f8201020fb210508ec0dd9b2567e3eb0292c32b0de9ec77a9d8c&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1278_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a549d174706c237de9108d2fc9adf5bd21c38c07c2524388bbd2a0ab3475faa3f38cc3d4adde6df9d8db51c46dcb7303&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1309_MALAYSIA_BLOCK-ON_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e74810dde512e139dd24db5b3b2f94ed2ad60a1cd48c8f95e4d465bfc5397abb60557bebb1bcd1dd574cd20d9a80878e&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1326_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=143b5fa21705e736bae0500faa3979fe914eab1a8f69d86f73118c37b6a651cb6de49f6eecf06143e93b77926e53e29a&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1330_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5f0317e4c84f04dc4b406a00c8bb03c39327f2243b32f3cce9ee8655aef3dc15d961e9e74c9733b5c98986d6d0ab10c1&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU2170_MALAYSIA_ONLINE_OFF_SSB-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b1a69ab94766592250ef286010658c5dd5c24356057d13f3ababb3e3ee459c8a9044a61002a62fbd77b8431501cd2ad3&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU2455_MALAYSIA_BLOCK-ON_ON_SSA-02,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a80cf808718ee523f48201123c61f1d0553154f8dd99d1ddc8f940cbfd6a82366d9007b6e4c4046401700a1b856c7b13&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU2455_MALAYSIA_BLOCK-ON_ON_SSB-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e7a44fa1360dc1d94e8d7dbb8f3d9231387278dd7b649c53d8fb3831471840883cef0d1ee0ee014fa87e4208e5c9c9b1&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU3170_MALAYSIA_ONLINE_OFF_SSB-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=353aa0c81afc8859c6b2e9eb939132669ce609a32c0e1a441ec49acbf33a67b92a8991c11445798e45e078d93d3ab32d&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU3744_MALAYSIA_ON-CAMPUS_ON_SSA-02,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=16914fa39f100e62b377ddd8681e696d6458e26513a56c879e421de9ac55f65193ab16987983560d49ea6bd1c2de00f8&ReportType=2&regl=en-US&IsReportLandscape=False"
APG4223_CLAYTON_FLEXIBLE_COMPOSITE_T1-57,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6add30f63243556c387fed49a3741c3827ff8813f62d1bbadea9c200715a82f4587d6dffb1f740ca7e932d9ec93aeab9&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_SSA-02,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=1fd0f381d6ded75ad66ed1d789f66567bd6a7b21c6c7570501fb0de4226cac236d23673ee0f457630ac733b5337f7552&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_T1-57,"(Faculty of Arts)",
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_T4-57,"(Faculty of Arts)",
APG5050_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=490e45b6e58f0d4a28dce3fb0be00663793e0bb845e45a34bf97a900771bb3c2829ca5b12236f7b30d450078f06cc6de&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5078_CLAYTON_BLOCK-ON_ON_SSA-02,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bf1e57f9abc6c1824131b228e4f543ad75a863f9b4073b674488bbe54c3cdc35a2f329070cee16577ff902768f3452e7&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5078_CLAYTON_FLEXIBLE_COMPOSITE_SSA-02,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0ce1e422cc99d0b7ec91942ef09f74a6286c9bbd96c2118c017e09818ef8cbef53b98fcabab3499e82259cc7aaa24a3a&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5106_CLAYTON_BLOCK-ON_ON_SSB-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bd197c05fd7c6dad648a0097437b1abeabc4ca13f31641b76ad9103620736d9248a9fa7a2d322b6d03c9b0b457855ef3&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5170_OTHER-OS_ONLINE_OFF_SSB-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=bb4217fa275073c70560b7ef98e055ccb6d157b173f21a9440684275880d8a8d0969c9948d73ef0b2f5621b8491885e4&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5192_ONLINE_MO_OFF_MO-TP6-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=657dbd787bedcc7ea1058e6dc6122c0863b5e0f26ca2d94855fbec88524fcd5c1c1273594777507ebdc78e652c71dfe0&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5193_ONLINE_MO_OFF_MO-TP1-01,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f3cfab0fdec2ff8bc3642877e37a09764b2ba6c7f508841984f2d8a92096db8c1feaf77bb4818ddecbbe7af312d8c1b7&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5365_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ed9dc2c5710ffeb2b4dbaea1c4fd05b61bcb0c2332a6cf6f874da1fc2539094ae9d36746a01118c2bc47271f1aa1e81b&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5366_CAULFIELD_BLOCK-ON_ON_NOV12,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=756e2c30e3b39177413159659dcfecf128c652e480b02640e1fa69caeb23f7580f9e21225bd5ab48f62e7ea0afa4a3db&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5390_CAULFIELD_BLOCK-ON_ON_T4-57,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=3f4e5d254925bee9c29ef1d265cb64ac05576276b148e85fa0bf59c7633aa7d9740661a7dfa486b9fa3a90261bef1c46&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5390_CAULFIELD_FLEXIBLE_COMPOSITE_T4-57,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=92c39c209eb13be09a5672d5edc70366ff95bd85825e7ce9f9e8f733e8977ecfcc9915cdf218e6678b1b35a96182c24f&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5470_CLAYTON_BLOCK-ON_ON_NOV12,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=d5b7ee79cb78838d09bef5d69e3d68c5c5c15c02ea4bb662b207060f4c214ce2f1409123538708c1bc7b90d2377df5a6&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5470_CLAYTON_FLEXIBLE_COMPOSITE_NOV12,"(Faculty of Arts)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8de40dc122a327846e2503a1fe6a958aa99cb4e9bed208bf244f5be1ca96ccaf40009ae3c8eb48af46cad6e41fdee9d3&ReportType=2&regl=en-US&IsReportLandscape=False"
