offering_id,faculty_full,link_fragment
ACB2851_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=da725f8ef7d8adde9c5ac11b5d05edcf4431d8a9736b492a1a8ed351f149d17e55d65757f026b208a5e60969ff0c6d80&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3021_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f28ec58c399c01430ceed2e0cc32e418dc7779a17f9185667734e9e5fbb7b9e41464db35ba0c42fb4a937dbc8731b68f&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3041_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a823d4edfaf2c4f200e951a32a083f3a93bff3cea82c848219ff257ef08ca587e59a03b86f958ca0314ed9c617f57cf1&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3050_BERWICK_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8ec2b198a874449bb469fa25bb53edba9763a3cf798bbd05e8f5500d1fa3aa953e20d52874cb6f3b015b28bcfd76794a&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=b8bec766af21997457151dc0c5d6063a4f6bf891265266054cd2c3db2a1789ad28c10d7c7c456703bedf6f9ab4bbf210&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=f3ba76ae174e8c8c4ed4306c8f72ee0b81edf5c472e7bb7a76fb55206174ed564e25f90e484865321ec8a638a8e67ac3&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=7e6c41108b950c072920b8ed7c95ccb196d97c8e6d87bca57a42f1105edfd297ce3a911044abbd91c57583b8f1c1cef3&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6d93e00371f5eb0318d49aad5af9be28a8329fc8d4b29cb272592a61b939449d571b5010e59200ffae6e3e91385964c6&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=ae4e4653ceeb089aeb313ee73eabe49f163d62642e388ad8fc91d83d24223ede883e014907f123bf28b6eec1d1a8b274&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=adfc9cd78790ae6418b9108d5a5806d26daddc23d1a0902c9e3415d2aa56143609ceff99866200a8a0a5d9716df24f80&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_MALAYSIA_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=15f7843d02a3415ddb6e543ba0474cd6c766e1da354d5f5e9c64847bb5c33c23a000caa86f96fe8fde0f47262062882a&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3200_CLAYTON_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9876dd25929e3b761acd6dbd5896c676a3603eec5f7590dee97f689c72a2b0df3453e939640b963f4f8bc6e2482976c6&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3200_MALAYSIA_DAY_ON_S2-01,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5a54fda43308dbfc85be10b1bf9a78ea176037d41bc49ec4b0c5c88fb2fb01db78bd139b977a84f9a5ce4327c2a34110&ReportType=2&regl=en-US&IsReportLandscape=False"
