offering_id,faculty_full,link_fragment
ACB2420_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=22f782b0c21c2df13170603a14a793104204556e206ff3f603f5db35bbb454491d6ea1fda449d60447d99cff224772f0&ReportType=2&regl=en-US&IsReportLandscape=False"
ACB3120_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)",
ACB3220_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)",
ACB3620_PENINSULA_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)",
ACC1100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=5debb6e0f8e2043c46d8a3634796f652b0ad43131edf4adde9149182f90cd98889a41fa8bcb107ce852ed5ee83476a04&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC1200_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=586d33f76b7ed58984d40787a8a7f346595a3ed92efca967510e81c87637e6c3467916753b1392d306c49cb5f41cd0b5&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e4e849bb06b4402f4acaea978cc979712e60120a378ecc77075fe9a532202ba4c3f6817e1fb11320d0a57d384ee3193d&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2200_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=375e865256e1e296ccb19a73a9332fb4a23ee841e24c61281294a791ca2a3b99cf52a27fbe40374561451b3b9bd4b183&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC2400_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=54cbf3f4dff2c2fd3dbf40b9f93fd6361cbb684b20bdbbd031b716d3a2fcdfe8e5f07313bc44f2f9047390b0889a70df&ReportType=2&regl=en-US&IsReportLandscape=False"
ACC3100_CLAYTON_ON-CAMPUS_ON_S2-01,"(Faculty of Business & Economics)","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=aaab4f6fad1d531ef23f05fd3fc3c7d1403fa02252e546fd2e0220ef2d324bf5b14a5438753e14042f543175441b9635&ReportType=2&regl=en-US&IsReportLandscape=False"
