offering_id,faculty_full,link_fragment
ACF1100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=334a8acf9611cdaba08e2298c162ad40ed31a80f1a593f8d4913fe2e5ee8e257bf1ee1c95b6e617872cc08b055030456&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF1200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a9f973ded7196c12d094fe83de12fde8fa1e054887667dc150eb5c9e79264c691cc622e7a0ae90309252d194c7b15dbc&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics",
ACF2200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=9969232c9d5b8596392c3dc86efcafeb0f0b19d37aa2aed952a46b366db4cda827aa4a40d7cfc6399e8753d3312ca903&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF2400_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=05dcfcf5f4d88f8ef32a0f7ad110e713b63d3d8d79c0ef98c549d7fc6c778418068149f9d78a22afd40cc25f33ab311c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3100_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6b8a8f4a5a18a2122b9c394c32696ea98ad8a5ab9d7d377a73d3950e3814048343340f83f2aa4aac2ee441d4da976f7c&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3200_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cacba9faf2bf0af6b2b997769c29c93a1dae089ef92e7455aff2a091c17fcd02021daa976fbed3be9ce7176287cdb8db&ReportType=2&regl=en-US&IsReportLandscape=False"
ACF3600_CITY_ON-CAMPUS_ON_TRI-C-29,"Faculty of Business & Economics",
ACX3500_CAULFIELD_BLOCK-ON_ON_SSA-02,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=88771ac664b019e1278267801e0a30f99fea7fd3cd0d87790cb9f4a96734744c40b25207f6b1a391e3ac3ffdf037f8f7&ReportType=2&regl=en-US&IsReportLandscape=False"
ACX5951_CAULFIELD_BLOCK-ON_ON_SSA-02,"Faculty of Business & Economics","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8f7b3500a5ef2d0b720931032c9cb7f876231a9c9092643069f7938988521811b2e039da8a87db6ebea89294ebb08724&ReportType=2&regl=en-US&IsReportLandscape=False"
ADA2011_PRATO_BLOCK-OFF_OFF_T4-57,"Faculty of Art Des & Architecture","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=627cc282d8861f7ff5903ef5628e5c9c373e54bd8800f21df4851848e663c7587d5c8f0bb7dd8624d5e85a6ac1231e28&ReportType=2&regl=en-US&IsReportLandscape=False"
ADA4011_OTHER-OS_BLOCK-OFF_OFF_T1-57,"Faculty of Art Des & Architecture","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=29efbedc95714ed8f2225623993f72015d427b0ffdc7013dcbfef6afe10cbfd972697ef436b54649fabb4b7ccbc34942&ReportType=2&regl=en-US&IsReportLandscape=False"
AMG5751_MALAYSIA_ON-CAMPUS_ON_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=21c83c67a35d9d076c71f8be0f1403bf75c4a8eaa86552ecefa3cace6d73556a8ead7031ac96caa9a6904a4dbc937d44&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1017_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=a827f1c276373b6ea86a50f73b3457afae4421d2867abdbec8b2c33eb6225b4cbae48b8aade4363a0f9872812aa97dc9&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1278_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=49bd2ad67ccbd9fb87418b92c3e85202e7432ea45dc121f2bc59ec6fd922e87d455d7892768bce66c1dd30c24fef9a56&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1304_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=2fa7c787284d5bfb07eca500891cb806d45dd698b6f35ca103736aa754bd5dd92ae129c89f70e58924e55a90edc253d8&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1309_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=8e130f04b04e9819a3edb220483cd93b72d5d245894256dde854755131050a25604e3b4e79b2443a4f53c8a3d4562837&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1312_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=899d8058a05d7eede35005f3b9939364699096dd73d9b93fdee6d0f44599cc2045c48187233a3f270fa7a7ff1bd9942d&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1326_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=95e8db06239ec17ae0034439661b2722ab27fbec4e6677f6d98ff34eeb4ebc5d63926535a0f72fe4434c3dd64e6d8bb0&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU1329_MALAYSIA_ON-CAMPUS_ON_OCT-MY-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=c43efb4f0372f5c6ec7eb3da1ee533ea82ce6556aedde5bf749ba32d339487518df77a90f8ef326abcbf69e6fb28b17b&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU2455_MALAYSIA_BLOCK-ON_ON_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=fc62abfe074b3d049f274cbcec8f683453ee7895c14fee898682a261e7fd8017731bd41f98cf165849d1c40e656110b2&ReportType=2&regl=en-US&IsReportLandscape=False"
AMU3744_MALAYSIA_ON-CAMPUS_ON_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=14b866c5e592c680faa909da85c9e852d210d94a475aed4e094d647ceb381bd2542808535bf35dab9af9e822ab88cbed&ReportType=2&regl=en-US&IsReportLandscape=False"
APG4224_CLAYTON_FLEXIBLE_COMPOSITE_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=76c8b79bf4df743913f82f0e805ca4d4b2c798465fc948ed27d80e8f6a7e9126b5a039bb07d8e5af6fb35236d4d6eee3&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=cb65c95480cf8857c3b4c62ba0afdf2c9023d23269ba1104fb866c708e1c40ef01dee949e7f59295060b3b5c55ff4fcb&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5044_CAULFIELD_FLEXIBLE_COMPOSITE_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=e806fa0f7d049130022378f84bc34f72d6acee556353688979d01501a9ead6f09e820632942c2629a27561d342f4c081&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5091_CLAYTON_BLOCK-ON_ON_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=6bd8c2b120add5b08c113fec483586c25523a0d6c9b6ca38a90d8ceea3c92c2e3ce44e02b849ed7380716107e22ed576&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5180_CITY_FLEXIBLE_COMPOSITE_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=186253ad5962f6f02aac95366fcf7b35c6f43735e00d8b9092950a4df140f1a69e5b9f49698501e7352f8e1baa93ec2c&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5181_CITY_FLEXIBLE_COMPOSITE_SSB-01,"Faculty of Arts",
APG5390_CAULFIELD_EVENING_ON_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=60447e8f442a36b4a9f82ac149f90be1e339471ed1094f8287f095faade0e94b64e660aa8daf5c940bc84225c7a4f129&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5470_CAULFIELD_BLOCK-ON_ON_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=4b2d04c969b2abd8acbb5370b9323499b204463462e72fc5538f1cf84f19dae50ad0487484aeaac403f8ec9b1a21345a&ReportType=2&regl=en-US&IsReportLandscape=False"
APG5471_CAULFIELD_BLOCK-ON_ON_SSA-02,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=812d1af1b9b505d7574987c927ed078bf98fd27dbf3181c956e1369c2396edff87c541880d19b902c1550529edb56e5f&ReportType=2&regl=en-US&IsReportLandscape=False"
ARC5502_CAULFIELD_BLOCK-OFF_OFF_T4-57,"Faculty of Art Des & Architecture","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=0c78e9095ca4d0023f30d36c5b5f272628b316a17b73e08217db329bfc50d8c4d8ef4a7b8057cedbe18703f0bd17bd50&ReportType=2&regl=en-US&IsReportLandscape=False"
ATS1221_CLAYTON_BLOCK-ON_ON_SSB-01,"Faculty of Arts","https://monash.bluera.com/monash/rpv-eng.aspx?lang=eng&redi=1&SelectedIDforPrint=89a418e82c4e955827c9d109eca098ce3703f1eeafa74789a59d2a3016b614530bd76bd39232c632cf6cb3692dda8115&ReportType=2&regl=en-US&IsReportLandscape=False"
